sltg,t,anomaly
3.719,1954-10-16 01:00:00,1
3.749,1954-10-16 02:00:00,1
3.749,1954-10-16 03:00:00,1
3.505,1954-10-16 04:00:00,1
3.399,1972-06-22 10:00:00,1
3.423,1972-06-22 11:00:00,1
3.432,1972-06-22 12:00:00,1
3.417,1972-06-23 12:00:00,1
3.426,1972-06-23 13:00:00,1
3.42,1972-06-23 14:00:00,1
3.411,1972-06-23 15:00:00,1
3.408,1972-06-23 16:00:00,1
3.42,1972-06-23 17:00:00,1
3.456,1972-06-23 18:00:00,1
3.508,1972-06-23 19:00:00,1
3.597,1972-06-23 20:00:00,1
3.703,1972-06-23 21:00:00,1
3.81,1972-06-23 22:00:00,1
3.886,1972-06-23 23:00:00,1
3.923,1972-06-24 00:00:00,1
3.938,1972-06-24 01:00:00,1
3.932,1972-06-24 02:00:00,1
3.932,1972-06-24 03:00:00,1
3.929,1972-06-24 04:00:00,1
3.926,1972-06-24 05:00:00,1
3.923,1972-06-24 06:00:00,1
3.926,1972-06-24 07:00:00,1
3.929,1972-06-24 08:00:00,1
3.944,1972-06-24 09:00:00,1
3.975,1972-06-24 10:00:00,1
4.005,1972-06-24 11:00:00,1
4.029,1972-06-24 12:00:00,1
4.033,1972-06-24 13:00:00,1
4.023,1972-06-24 14:00:00,1
3.999,1972-06-24 15:00:00,1
3.968,1972-06-24 16:00:00,1
3.932,1972-06-24 17:00:00,1
3.898,1972-06-24 18:00:00,1
3.865,1972-06-24 19:00:00,1
3.837,1972-06-24 20:00:00,1
3.819,1972-06-24 21:00:00,1
3.819,1972-06-24 22:00:00,1
3.825,1972-06-24 23:00:00,1
3.831,1972-06-25 00:00:00,1
3.828,1972-06-25 01:00:00,1
3.798,1972-06-25 02:00:00,1
3.752,1972-06-25 03:00:00,1
3.691,1972-06-25 04:00:00,1
3.633,1972-06-25 05:00:00,1
3.572,1972-06-25 06:00:00,1
3.52,1972-06-25 07:00:00,1
3.472,1972-06-25 08:00:00,1
3.459,1972-06-25 09:00:00,1
3.493,1972-06-25 10:00:00,1
3.548,1972-06-25 11:00:00,1
3.581,1972-06-25 12:00:00,1
3.578,1972-06-25 13:00:00,1
3.53,1972-06-25 14:00:00,1
3.463,1972-06-25 15:00:00,1
3.386,1972-06-25 16:00:00,1
3.618,1974-12-02 01:00:00,1
3.648,1974-12-02 02:00:00,1
3.432,1974-12-02 03:00:00,1
3.505,1979-02-27 00:00:00,1
3.569,1979-02-27 01:00:00,1
3.52,1979-02-27 02:00:00,1
3.444,1979-02-27 03:00:00,1
3.456,1979-02-27 13:00:00,1
3.45,1979-02-27 14:00:00,1
3.383,1979-02-27 15:00:00,1
3.392,1985-11-05 01:00:00,1
3.481,1985-11-05 02:00:00,1
3.581,1985-11-05 03:00:00,1
3.77,1985-11-05 04:00:00,1
3.862,1985-11-05 05:00:00,1
3.709,1985-11-05 06:00:00,1
3.453,1985-11-05 07:00:00,1
3.377,1985-11-07 08:00:00,1
3.444,1985-11-07 09:00:00,1
3.466,1985-11-07 10:00:00,1
3.472,1985-11-07 11:00:00,1
3.475,1985-11-07 12:00:00,1
3.475,1985-11-07 13:00:00,1
3.478,1985-11-07 14:00:00,1
3.49,1985-11-07 15:00:00,1
3.505,1985-11-07 16:00:00,1
3.536,1985-11-07 17:00:00,1
3.591,1985-11-07 18:00:00,1
3.658,1985-11-07 19:00:00,1
3.728,1985-11-07 20:00:00,1
3.77,1985-11-07 21:00:00,1
3.783,1985-11-07 22:00:00,1
3.761,1985-11-07 23:00:00,1
3.719,1985-11-08 00:00:00,1
3.667,1985-11-08 01:00:00,1
3.606,1985-11-08 02:00:00,1
3.542,1985-11-08 03:00:00,1
3.472,1985-11-08 04:00:00,1
3.417,1985-11-08 05:00:00,1
3.38,1985-11-08 06:00:00,1
3.41,1996-01-21 10:00:00,1
3.496,1996-01-21 11:00:00,1
3.616,1996-01-21 12:00:00,1
3.73,1996-01-21 13:00:00,1
3.802,1996-01-21 14:00:00,1
3.844,1996-01-21 15:00:00,1
3.852,1996-01-21 16:00:00,1
3.851,1996-01-21 17:00:00,1
3.839,1996-01-21 18:00:00,1
3.82,1996-01-21 19:00:00,1
3.798,1996-01-21 20:00:00,1
3.775,1996-01-21 21:00:00,1
3.755,1996-01-21 22:00:00,1
3.748,1996-01-21 23:00:00,1
3.77,1996-01-22 00:00:00,1
3.806,1996-01-22 01:00:00,1
3.837,1996-01-22 02:00:00,1
3.832,1996-01-22 03:00:00,1
3.797,1996-01-22 04:00:00,1
3.745,1996-01-22 05:00:00,1
3.67,1996-01-22 06:00:00,1
3.597,1996-01-22 07:00:00,1
3.515,1996-01-22 08:00:00,1
3.428,1996-01-22 09:00:00,1
3.508,1996-09-06 18:00:00,1
3.617,1996-09-06 19:00:00,1
3.755,1996-09-06 20:00:00,1
3.744,1996-09-06 21:00:00,1
3.581,1996-09-06 22:00:00,1
3.387,1996-09-06 23:00:00,1
3.454,1996-09-08 21:00:00,1
3.565,1996-09-08 22:00:00,1
3.649,1996-09-08 23:00:00,1
3.696,1996-09-09 00:00:00,1
3.712,1996-09-09 01:00:00,1
3.718,1996-09-09 02:00:00,1
3.71,1996-09-09 03:00:00,1
3.703,1996-09-09 04:00:00,1
3.695,1996-09-09 05:00:00,1
3.691,1996-09-09 06:00:00,1
3.705,1996-09-09 07:00:00,1
3.738,1996-09-09 08:00:00,1
3.784,1996-09-09 09:00:00,1
3.833,1996-09-09 10:00:00,1
3.868,1996-09-09 11:00:00,1
3.872,1996-09-09 12:00:00,1
3.855,1996-09-09 13:00:00,1
3.815,1996-09-09 14:00:00,1
3.762,1996-09-09 15:00:00,1
3.697,1996-09-09 16:00:00,1
3.629,1996-09-09 17:00:00,1
3.56,1996-09-09 18:00:00,1
3.494,1996-09-09 19:00:00,1
3.444,1996-09-09 20:00:00,1
3.417,1996-09-09 21:00:00,1
3.4,1996-09-09 22:00:00,1
3.375,1996-09-09 23:00:00,1
3.402,2003-09-19 04:00:00,1
3.702,2003-09-19 05:00:00,1
4.052,2003-09-19 06:00:00,1
4.315,2003-09-19 07:00:00,1
4.474,2003-09-19 08:00:00,1
4.512,2003-09-19 09:00:00,1
4.379,2003-09-19 10:00:00,1
4.122,2003-09-19 11:00:00,1
3.814,2003-09-19 12:00:00,1
3.546,2003-09-19 13:00:00,1
